avg,Year,DOY
8.39298431,0,0
8.208368135,0,1
7.577532377,0,2
3.400131569,0,3
5.872894737,0,4
5.767512542,0,5
5.021349414,0,6
6.572175616,0,7
7.859019239,0,8
4.755564914,0,9
4.894401933,0,10
4.620945623,0,11
6.765331101,0,12
6.356339379,0,13
7.302525685,0,14
7.908175201,0,15
9.00660741,0,16
9.957355328,0,17
8.985905606,0,18
6.574158176,0,19
8.878839984,0,20
9.133870407,0,21
10.36678613,0,22
8.636319557,0,23
9.13404422,0,24
8.294392999,0,25
8.645558904,0,26
9.181158519,0,27
7.017964446,0,28
8.052671552,0,29
8.587758645,0,30
7.238130934,0,31
6.10461367,0,32
6.575012165,0,33
8.504544083,0,34
8.787705107,0,35
9.898854749,0,36
9.964340714,0,37
11.55640654,0,38
10.34331387,0,39
9.335150084,0,40
11.42624491,0,41
11.94781569,0,42
12.26544326,0,43
12.54251117,0,44
12.10596811,0,45
11.08653043,0,46
13.37116542,0,47
10.8360891,0,48
9.432462905,0,49
9.476772823,0,50
11.59466094,0,51
10.39004878,0,52
11.18443391,0,53
12.35211532,0,54
10.57553721,0,55
8.82904394,0,56
9.628797457,0,57
8.953851481,0,58
10.05528315,0,59
10.1827676,0,60
9.515361994,0,61
9.922646494,0,62
8.207610941,0,63
9.593675209,0,64
7.666255546,0,65
8.447389284,0,66
7.407860125,0,67
8.60067903,0,68
9.402930452,0,69
10.74346334,0,70
13.64032518,0,71
14.20297889,0,72
14.16788532,0,73
12.83372726,0,74
10.58898827,0,75
8.498692882,0,76
8.018520744,0,77
9.161033942,0,78
9.004937812,0,79
8.287663005,0,80
10.05597506,0,81
11.25957253,0,82
10.86140289,0,83
10.58728673,0,84
13.11473191,0,85
13.6771612,0,86
14.93484459,0,87
17.29742958,0,88
16.65896401,0,89
18.00804659,0,90
17.18138825,0,91
17.96311695,0,92
18.7930542,0,93
20.47691353,0,94
18.53686886,0,95
19.04636654,0,96
18.60351816,0,97
16.14183684,0,98
14.51058188,0,99
16.05839353,0,100
17.10317493,0,101
16.97860495,0,102
16.65765325,0,103
13.53889331,0,104
14.15641475,0,105
13.45172561,0,106
13.47034947,0,107
11.75022332,0,108
10.19289491,0,109
9.591796917,0,110
9.433673348,0,111
11.41091783,0,112
12.37689779,0,113
13.47951361,0,114
11.74613758,0,115
11.87477605,0,116
9.651324908,0,117
8.659522695,0,118
8.395991737,0,119
8.491282354,0,120
9.478065864,0,121
11.99341481,0,122
12.06119657,0,123
8.19232556,0,124
9.812876737,0,125
11.83889731,0,126
14.26858655,0,127
14.54666006,0,128
15.50889462,0,129
14.56713588,0,130
11.22683149,0,131
11.84323939,0,132
16.45217825,0,133
18.83937577,0,134
20.17789646,0,135
19.20125504,0,136
16.2027197,0,137
15.66281634,0,138
17.07805676,0,139
15.70017416,0,140
14.0803254,0,141
13.45473157,0,142
14.28726153,0,143
12.0286409,0,144
10.91814648,0,145
15.81022201,0,146
16.64471637,0,147
18.23191109,0,148
19.400945,0,149
18.93682952,0,150
16.91835499,0,151
17.24781562,0,152
17.23789248,0,153
19.48049597,0,154
22.82165278,0,155
19.28524704,0,156
19.75726757,0,157
19.78244841,0,158
18.63470241,0,159
17.91129264,0,160
18.10765012,0,161
16.29067386,0,162
17.50201794,0,163
19.19907187,0,164
19.0330258,0,165
20.37834698,0,166
22.81232241,0,167
20.56564543,0,168
20.43516225,0,169
21.62092332,0,170
23.59963878,0,171
24.15042687,0,172
22.62690938,0,173
22.98360308,0,174
20.28835813,0,175
21.67865787,0,176
20.48781543,0,177
21.1386316,0,178
21.54745892,0,179
20.76548308,0,180
21.4621144,0,181
21.06294814,0,182
21.71356704,0,183
22.58973668,0,184
21.1388785,0,185
22.92038541,0,186
19.52747654,0,187
21.21204563,0,188
21.3569138,0,189
22.76527346,0,190
25.08142194,0,191
24.52730064,0,192
23.64657906,0,193
24.3831256,0,194
23.64545117,0,195
24.51641017,0,196
22.63039349,0,197
24.12642916,0,198
23.60730032,0,199
26.78549057,0,200
27.95100656,0,201
29.07372182,0,202
27.59478432,0,203
25.37669243,0,204
21.73728605,0,205
20.38038514,0,206
21.20861118,0,207
23.20412062,0,208
21.10432021,0,209
19.94039305,0,210
20.61464484,0,211
21.15198528,0,212
21.9893603,0,213
24.21756058,0,214
25.64404666,0,215
23.8899947,0,216
22.08693132,0,217
20.48344149,0,218
20.17643134,0,219
19.69482407,0,220
21.22059731,0,221
22.27397888,0,222
23.18835441,0,223
23.53175829,0,224
20.8561684,0,225
18.20646776,0,226
20.07594469,0,227
19.2511595,0,228
20.70257416,0,229
21.89508308,0,230
20.32708826,0,231
19.58991454,0,232
20.58925444,0,233
18.66814942,0,234
17.35226179,0,235
18.1794363,0,236
19.23417122,0,237
21.68201042,0,238
22.67131027,0,239
19.55634668,0,240
19.57859354,0,241
18.18550608,0,242
17.62514441,0,243
18.89478939,0,244
20.39930336,0,245
20.9534169,0,246
19.7059808,0,247
22.79105993,0,248
19.40222185,0,249
18.57884761,0,250
17.77955165,0,251
18.34871106,0,252
18.71876263,0,253
20.06952324,0,254
17.01223229,0,255
18.31604136,0,256
17.61765179,0,257
16.75559666,0,258
16.88660357,0,259
17.75675238,0,260
18.54984085,0,261
16.83492217,0,262
15.66537321,0,263
16.34638538,0,264
18.17779003,0,265
19.48557918,0,266
18.73181417,0,267
18.27276989,0,268
16.6817072,0,269
15.49259873,0,270
15.15542317,0,271
13.39884505,0,272
15.77976454,0,273
13.71432485,0,274
14.24050969,0,275
11.50085972,0,276
14.610903,0,277
16.80993506,0,278
17.86271102,0,279
17.10241798,0,280
16.89337725,0,281
15.80092404,0,282
16.39536281,0,283
16.76561669,0,284
16.58023729,0,285
16.65750609,0,286
17.49974039,0,287
18.65081881,0,288
17.55265202,0,289
14.09297835,0,290
14.80507229,0,291
13.74421848,0,292
13.14424683,0,293
13.21828688,0,294
14.33034715,0,295
16.47277857,0,296
12.93393747,0,297
13.03325398,0,298
13.48848373,0,299
13.25700785,0,300
15.9718413,0,301
14.12769639,0,302
14.17576447,0,303
15.30471249,0,304
16.1163319,0,305
14.80867013,0,306
14.02411081,0,307
11.78383152,0,308
8.060107547,0,309
5.740114517,0,310
6.2165801,0,311
8.417553795,0,312
10.47142007,0,313
9.695344934,0,314
11.30946982,0,315
10.07151778,0,316
7.628009594,0,317
7.340126427,0,318
5.230702493,0,319
8.782438388,0,320
10.58435362,0,321
9.189832531,0,322
6.80563588,0,323
5.939428807,0,324
6.95325157,0,325
5.842433385,0,326
7.098221962,0,327
7.389599768,0,328
